path_ref,path_query,path_distance,ref_x,ref_y,query_x,query_y
0,0,92.73875111534164,961.519170270101,537.841342357586,961.8,541.4
1,1,92.73875111534164,961.519170270101,537.841342357586,961.8,541.4
2,2,92.73875111534164,961.519170270101,537.841342357586,961.8,541.4
3,3,92.73875111534164,961.519170270101,537.841342357586,961.8,541.4
4,4,92.73875111534164,961.519170270101,537.841342357586,961.8,541.4
5,5,92.73875111534164,961.519170270101,537.841342357586,961.8,541.4
6,6,92.73875111534164,961.519170270101,537.841342357586,961.8,541.4
7,7,92.73875111534164,961.519170270101,537.841342357586,961.8,541.4
8,8,92.73875111534164,961.519170270101,537.841342357586,961.8,541.4
9,9,92.73875111534164,961.519170270101,537.841342357586,961.8,541.4
10,10,92.73875111534164,961.519170270101,537.841342357586,961.8,541.4
11,11,92.73875111534164,961.519170270101,537.841342357586,961.8,541.4
12,12,92.73875111534164,961.519170270101,537.841342357586,961.8,541.4
13,13,92.73875111534164,961.519170270101,537.841342357586,961.8,541.4
14,14,92.73875111534164,961.519170270101,537.841342357586,961.8,541.4
15,15,92.73875111534164,961.519170270101,537.841342357586,961.8,541.4
16,16,92.73875111534164,961.519170270101,537.841342357586,961.8,541.4
17,17,92.73875111534164,961.519170270101,537.841342357586,961.8,541.4
18,18,92.73875111534164,961.519170270101,537.841342357586,961.8,541.4
19,19,92.73875111534164,961.519170270101,537.841342357586,961.8,541.4
20,20,92.73875111534164,961.519170270101,537.841342357586,961.8,541.4
21,21,90.8623985229216,961.519170270101,537.841342357586,961.8444444444444,541.34
22,22,88.98718216358522,961.519170270101,537.841342357586,961.8888888888888,541.28
23,23,87.1171061299958,961.519170270101,537.841342357586,961.9333333333333,541.22
24,24,85.25610897059364,961.519170270101,537.841342357586,961.9777777777778,541.16
25,25,83.40801477966201,961.519170270101,537.841342357586,962.0222222222221,541.1
26,26,81.57648784918116,961.519170270101,537.841342357586,962.0666666666666,541.04
27,27,79.76499216697053,961.519170270101,537.841342357586,962.1111111111111,540.98
28,28,77.9767567773679,961.519170270101,537.841342357586,962.1555555555556,540.92
29,29,76.21474771189769,961.519170270101,537.841342357586,962.1999999999999,540.86
30,30,74.4816468723607,961.519170270101,537.841342357586,962.2444444444444,540.8
31,31,72.77983793251512,961.519170270101,537.841342357586,962.2888888888889,540.74
32,32,71.11139903702819,961.519170270101,537.841342357586,962.3333333333333,540.68
33,33,69.47810183417968,961.519170270101,537.841342357586,962.3777777777777,540.62
34,34,67.88141619094085,961.519170270101,537.841342357586,962.4222222222222,540.56
35,35,66.32251981012075,961.519170270101,537.841342357586,962.4666666666666,540.5
36,36,64.80231189731651,961.519170270101,537.841342357586,962.5111111111111,540.4399999999999
37,37,63.32143000556207,961.519170270101,537.841342357586,962.5555555555555,540.38
38,38,61.880269208964954,961.519170270101,537.841342357586,962.5999999999999,540.3199999999999
39,39,60.47900281425583,961.519170270101,537.841342357586,962.6444444444444,540.26
40,40,59.11760390036097,961.519170270101,537.841342357586,962.6888888888889,540.1999999999999
41,41,57.795867072126335,961.519170270101,537.841342357586,962.7333333333332,540.14
42,42,56.51342991638164,961.519170270101,537.841342357586,962.7777777777777,540.0799999999999
43,43,55.26979375060378,961.519170270101,537.841342357586,962.8222222222222,540.02
44,44,54.06434335092636,961.519170270101,537.841342357586,962.8666666666667,539.96
45,45,52.89636543432338,961.519170270101,537.841342357586,962.911111111111,539.9
46,46,51.765065746908874,961.519170270101,537.841342357586,962.9555555555555,539.84
47,47,50.66958467585181,961.519170270101,537.841342357586,963.0,539.78
48,48,49.60901135636126,961.519170270101,537.841342357586,963.0444444444444,539.72
49,49,48.5823962878657,961.519170270101,537.841342357586,963.0888888888888,539.66
50,50,47.588762506354314,961.519170270101,537.841342357586,963.1333333333333,539.6
51,51,46.62711538356846,961.519170270101,537.841342357586,963.1777777777777,539.54
52,52,45.69645114017219,961.519170270101,537.841342357586,963.2222222222222,539.48
53,53,44.795764169962716,961.519170270101,537.841342357586,963.2666666666667,539.42
54,54,43.92405327737016,961.519170270101,537.841342357586,963.311111111111,539.36
55,55,43.0803269314871,961.519170270101,537.841342357586,963.3555555555555,539.3
56,56,42.263607638162576,961.519170270101,537.841342357586,963.4,539.24
57,57,41.47293552760086,961.519170270101,537.841342357586,963.4444444444443,539.18
58,58,40.7073712495619,961.519170270101,537.841342357586,963.4888888888888,539.12
59,59,39.965998261748496,961.519170270101,537.841342357586,963.5333333333333,539.06
60,60,39.24792459019448,961.519170270101,537.841342357586,963.5777777777778,539.0
61,61,38.5522841332545,961.519170270101,537.841342357586,963.6222222222221,538.9399999999999
62,62,37.87823757389666,961.519170270101,537.841342357586,963.6666666666666,538.88
63,63,37.224972958085544,961.519170270101,537.841342357586,963.7111111111111,538.8199999999999
64,64,36.59170599072907,961.519170270101,537.841342357586,963.7555555555555,538.76
65,65,35.977680094534286,961.519170270101,537.841342357586,963.8,538.7
66,66,35.382166271667,961.519170270101,537.841342357586,963.8444444444444,538.64
67,67,34.80446280301043,961.519170270101,537.841342357586,963.8888888888888,538.58
68,68,34.243894815236445,961.519170270101,537.841342357586,963.9333333333333,538.52
69,69,33.69981374185133,961.519170270101,537.841342357586,963.9777777777778,538.46
70,70,33.17159670065344,961.519170270101,537.841342357586,964.0222222222221,538.4
71,71,32.65864580687765,961.519170270101,537.841342357586,964.0666666666666,538.34
72,72,32.16038743835231,961.519170270101,537.841342357586,964.1111111111111,538.28
73,73,31.67627146659553,961.519170270101,537.841342357586,964.1555555555556,538.22
74,74,31.205770465479766,961.519170270101,537.841342357586,964.1999999999999,538.16
75,75,30.74837890729233,961.519170270101,537.841342357586,964.2444444444444,538.1
76,76,30.303612354269003,961.519170270101,537.841342357586,964.2888888888889,538.04
77,77,29.87100665235681,961.519170270101,537.841342357586,964.3333333333333,537.98
78,78,29.450117132637278,961.519170270101,537.841342357586,964.3777777777777,537.92
79,79,29.0405178248744,961.519170270101,537.841342357586,964.4222222222222,537.86
80,80,28.64180068668784,961.519170270101,537.841342357586,964.4666666666666,537.8
81,81,28.253574851153253,961.519170270101,537.841342357586,964.5111111111111,537.74
82,82,27.875465894907055,961.519170270101,537.841342357586,964.5555555555555,537.68
83,83,27.50711512837798,961.519170270101,537.841342357586,964.5999999999999,537.62
84,84,27.148178909219837,961.519170270101,537.841342357586,964.6444444444444,537.56
85,85,26.7983279797092,961.519170270101,537.841342357586,964.6888888888889,537.5
