u_0;u_1;v_0;v_1;Euklid;Winkel;Winkel+;Winkelsk
960;540;960;540;0.0;0;0;0
992;540;960;558;36.71511950137164;90.0;55.15428848740816;27.656558676090174
1024;540;960;576;73.43023900274328;90.0;55.27641589510827;46.81439248769126
1056;540;960;594;110.14535850411491;90.0;55.47936415434302;60.08511791132201
1088;540;960;612;146.86047800548656;90.0;55.76225082289911;69.27781448658692
1120;540;960;630;183.5755975068582;90.0;56.12386714942328;75.64564048157064
1152;540;960;648;220.29071700822982;90.0;56.56270315217267;80.05666477356102
1184;540;960;666;257.00583650960147;90.0;57.07697774987725;83.11220293051707
1216;540;960;684;293.7209560109731;90.0;57.66467261108531;85.22878919497437
1248;540;960;702;330.43607551234476;90.0;58.32356832989396;86.69495887925422
1280;540;960;720;367.1511950137164;90.0;59.05128157139738;87.71058180906307
1312;540;960;738;403.86631451508805;90.0;59.84530194444332;88.41410879274925
1344;540;960;756;440.58143401645964;90.0;60.70302753177321;88.90144538416287
1376;540;960;774;477.2965535178313;90.0;61.621798215642244;89.2390258307383
1408;540;960;792;514.0116730192029;90.0;62.59892615884024;89.47286946144025
1440;540;960;810;550.7267925205746;90.0;63.63172301812222;89.63485409110288
1472;540;960;828;587.4419120219462;90.0;64.7175236653459;89.74706163837786
1504;540;960;846;624.1570315233179;90.0;65.85370636189491;89.82478835659604
1536;540;960;864;660.8721510246895;90.0;67.03770946957567;89.87863003544643
1568;540;960;882;697.5872705260612;90.0;68.26704488521739;89.91592643040411
1600;540;960;900;734.3023900274328;90.0;69.53930845858206;89.94176182607785
1632;540;960;918;771.0175095288045;90.0;70.85218769762758;89.95965813134748
1664;540;960;936;807.7326290301761;90.0;72.20346708632741;89.97205498976405
1696;540;960;954;844.4477485315476;90.0;73.59103134307448;89.98064235437843
1728;540;960;972;881.1628680329193;90.0;75.01286693689867;89.98659086395581
1760;540;960;990;917.8779875342909;90.0;76.46706215850618;89.99071142570916
1792;540;960;1008;954.5931070356626;90.0;77.95180601703414;89.99356575904129
1824;540;960;1026;991.3082265370342;90.0;79.4653862042228;89.99554296973697
1856;540;960;1044;1028.0233460384059;90.0;81.00618633758617;89.99691259328131
1888;540;960;1062;1064.7384655397775;90.0;82.57268266465414;89.99786133822656
1920;540;960;1080;1101.4535850411492;90.0;84.16344038250874;89.9985185385024
