Proband;pb1;pb1_2;pb2;pb3;pb3_2;pb4;pb5;pb5_2;pb7;pb7_2;pb8
Alias_Distance;Spot1_euklid;Spot1_euklid;Spot1_euklid;Spot1_euklid;Spot1_euklid;Spot1_euklid;Spot1_euklid;Spot1_euklid;Spot1_euklid;Spot1_euklid;Spot1_euklid
distance;1338223.0147082442;1272056.278737656;3581830.9091147827;1474498.78499337;1080236.9406233788;2623972.4670565715;917015.0466134665;970278.2589940428;1050320.2581844516;1120836.5752355675;2958043.2469142633
mean_distance;164.86670133155653;156.71507684337269;220.65119873805105;181.65563447004683;133.0832746856448;161.64433358322992;112.97462690815159;119.53656018159946;129.39759248299268;138.10209157658545;182.22406498578596
zero-overhead-counter;402;33;1245;374;208;1076;773;232;582;75;1501
ref before query (rbq);7565;8707;10938;3491;4028;9151;6233;7364;2649;6708;12831
query berfore ref (qbr);2968;1472;7112;6753;6000;10585;2929;2224;7074;4570;5177
max rbq;801;764;348;166;380;1252;572;693;262;830;1044
max qbr;-480;-250;-573;-1912;-937;-1244;-332;-228;-566;-298;-532
max distance;523.4948423921661;475.0269840946294;610.8875033721962;487.84213330637084;370.69729060686547;517.0973622120514;454.01863049640156;538.3874366617247;603.9377171053538;459.4621500296447;689.397211344097
min distane;0.3385580568202901;0.8368877593541157;0.2141851903465124;0.9510320877288688;1.4238859242946238;0.9130950020730331;1.5815233376352635;0.8470878905325407;1.7238262667378057;0.7187090487722921;1.9228427392712004
Alias_Distance;Spot1_winkel;Spot1_winkel;Spot1_winkel;Spot1_winkel;Spot1_winkel;Spot1_winkel;Spot1_winkel;Spot1_winkel;Spot1_winkel;Spot1_winkel;Spot1_winkel
distance;357733.27207355463;274286.83248684835;956717.2102770051;300715.47140840674;239380.11173802434;608885.16755109;216059.1584443378;222832.09240693809;296385.8912705733;279891.2423737525;523273.89556561003
mean_distance;44.0721044811574;33.791651162602975;58.93656195878797;37.047612591894385;29.491205092771263;37.50909675051377;26.618105019630136;27.452518468268828;36.51421599982424;34.48635317567182;32.23519346797327
zero-overhead-counter;217;46;503;211;43;492;737;213;645;43;37
ref before query (rbq);6588;6212;2637;7460;4799;13682;4620;9193;5093;7437;9855
query berfore ref (qbr);4443;5541;19262;3008;6083;8283;5244;1795;4576;5169;13991
max rbq;788;847;346;1140;519;2289;203;702;465;948;1228
max qbr;-584;-748;-3851;-165;-961;-1241;-541;-207;-370;-1060;-3964
max distance;179.9501502677837;179.49445676166448;179.6328437558219;174.934765094779;177.3072551092631;179.8771668684672;179.7183654507712;177.61945778140088;178.98580384295934;160.38856277743304;178.7891448156524
min distane;0.0019685882030899154;0.00020942877852899802;0.0003523138098298345;0.00035178893298570433;0.004969650215025322;0.00034671410341833127;0.0005727039543427235;0.0005495411418574539;0.0032722524303583074;0.0089141290548217;0.0005869984093867552
Alias_Distance;Spot1_winkellog;Spot1_winkellog;Spot1_winkellog;Spot1_winkellog;Spot1_winkellog;Spot1_winkellog;Spot1_winkellog;Spot1_winkellog;Spot1_winkellog;Spot1_winkellog;Spot1_winkellog
distance;276189.2763131835;241245.2321497747;887379.1695103607;258939.4369378408;214380.34333065324;520686.7332520744;168487.1164117333;206169.36201125485;240725.7586532579;210732.1638580255;448912.58933472226
mean_distance;34.026028866968524;29.720984618673736;54.665137036306334;31.90087925808067;26.411277975933626;32.07581674687824;20.757313836606293;25.399699644111724;29.656986405477134;25.9650275823097;27.654320786960035
zero-overhead-counter;392;46;269;47;43;490;737;232;262;43;87
ref before query (rbq);8554;6222;2887;7875;4799;7116;4620;5527;5572;7443;8465
query berfore ref (qbr);2891;5535;19653;2754;6082;15879;5244;5545;4745;5165;14429
max rbq;804;847;346;1140;519;1248;203;575;564;948;220
max qbr;-584;-748;-3851;-165;-961;-3140;-541;-716;-370;-1060;-3964
max distance;178.9828668939213;179.49364351163834;179.6328437558219;174.93474124854592;177.30723668700503;179.87716622820582;179.71836481107505;177.7739178388442;178.98580384295934;157.18516349552465;178.78914481562876
min distane;8.407403537397305e-05;1.801628127941576e-08;1.1453159640371407e-06;1.4658282730649538e-06;3.664282559226691e-05;8.351565953095125e-07;1.9012257005825757e-06;6.499048363740018e-07;7.470044040980583e-05;0.0003495630487555451;0.0003579248761080722
Alias_Distance;Spot2_euklid;Spot2_euklid;Spot2_euklid;Spot2_euklid;Spot2_euklid;Spot2_euklid;Spot2_euklid;Spot2_euklid;Spot2_euklid;Spot2_euklid;Spot2_euklid
distance;1987419.138216954;1717773.4073340574;3902966.422516919;1822854.8135226925;2116070.784362309;2424364.0061507276;1451903.3427232231;1375987.8184186528;1845116.3962589507;1790159.226668152;2783781.05145807
mean_distance;211.04588915970626;182.41195787767413;207.24082315706045;193.57065026257752;224.73139171222485;128.72957076146804;154.17896811332943;146.11742788771932;195.93462846542963;190.11886434453612;147.8139994402416
zero-overhead-counter;955;462;1020;609;728;1289;609;493;459;604;359
ref before query (rbq);1817;3419;20162;5269;9092;16306;7531;8116;1089;1969;12793
query berfore ref (qbr);10301;9280;4400;6540;3711;6701;4178;2656;11480;11095;10451
max rbq;383;320;1836;945;1215;1468;588;356;40;217;820
max qbr;-2036;-2200;-1815;-525;-1384;-580;-341;-322;-2154;-3109;-1255
max distance;559.299432678343;429.07670076277134;597.4527264516171;527.9504209393306;468.1709483280734;634.6118027974752;542.2401093187073;564.6123861916617;491.8578021671787;512.087774636127;648.134713970593
min distane;0.3726994766004141;0.6514181704682949;0.4284035230816576;1.1575607185991774;2.426126365844652;0.48401522512270423;1.4012914618967796;0.24273623696208532;1.031144231732045;0.8379787203192334;0.2851620949069914
Alias_Distance;Spot2_winkel;Spot2_winkel;Spot2_winkel;Spot2_winkel;Spot2_winkel;Spot2_winkel;Spot2_winkel;Spot2_winkel;Spot2_winkel;Spot2_winkel;Spot2_winkel
distance;533277.9821549266;402208.2926443175;1015215.1815400652;425105.2053077546;603410.013552131;617290.3683044865;404726.45201911824;424619.74595402775;658505.6278326496;558965.6084916303;843429.3498138405
mean_distance;56.629285563866055;42.71087317025778;53.90618497000293;45.142317649756244;64.08347637554492;32.77705985793482;42.97827885941576;45.09076626887838;69.92732588219705;59.363382380164644;44.784651930857564
zero-overhead-counter;952;319;1536;739;135;1119;610;68;645;770;499
ref before query (rbq);1873;10815;22607;9624;7895;20382;7710;11758;5819;11742;19267
query berfore ref (qbr);11651;2644;3709;4131;6475;4308;3702;1318;8807;1512;5459
max rbq;382;1212;4500;1681;1132;2816;412;2354;1148;3060;2219
max qbr;-3126;-435;-728;-721;-1761;-700;-316;-322;-2164;-403;-388
max distance;179.9702323324533;177.86937645667888;179.30801905107975;175.18784009919398;179.48432956025843;179.41570444357893;179.585641434514;179.15834574423283;179.34627557723454;179.70709129774667;179.9480236789426
min distane;0.0021387585381947597;0.0004057015222961144;0.00025766571800832204;0.0005444479129925431;0.018182555317294756;0.0009633722450483653;0.008593171149188518;0.0029083869125920386;0.0005425400682971292;0.005285516678309838;0.0022408822720449916
Alias_Distance;Spot2_winkellog;Spot2_winkellog;Spot2_winkellog;Spot2_winkellog;Spot2_winkellog;Spot2_winkellog;Spot2_winkellog;Spot2_winkellog;Spot2_winkellog;Spot2_winkellog;Spot2_winkellog
distance;592067.2187539489;380366.9057029079;893905.2091640647;441951.758303307;585805.419222169;603195.9196469252;365081.86357436306;380975.2016213975;556265.9671882493;483157.71632899134;722464.0324902672
mean_distance;62.87216934840702;40.39151595018667;47.46483349249003;46.93126880145556;62.21382956904938;32.028668807249254;38.76838309168133;40.45611146027371;59.070401103137876;51.312416772407744;38.361601045519414
zero-overhead-counter;955;458;766;739;330;1119;610;193;462;415;394
ref before query (rbq);3937;10392;23267;11268;7817;20036;7334;11627;6006;12025;19310
query berfore ref (qbr);9456;2790;3709;2565;6347;4649;4277;1317;8807;1634;5387
max rbq;789;1212;4516;2748;1132;2816;412;1924;1148;3060;2219
max qbr;-3089;-437;-728;-534;-1761;-700;-352;-321;-2164;-403;-294
max distance;179.9702323324533;177.86937476580175;179.30801905107975;178.1136836368745;179.48432956024854;179.41570444313643;179.585641434514;176.95458584152914;179.34627557675358;179.70709129774667;179.9473402586757
min distane;4.520768375090747e-05;0.00010504804790975302;2.0089953778981077e-05;6.0378397260710876e-05;0.0020290216433447115;9.057786368566897e-08;9.331428244190956e-06;8.118029251469657e-06;7.340317468274357e-05;0.003862843020183243;2.6670142806019255e-05
Alias_Distance;Spot3_euklid;Spot3_euklid;Spot3_euklid;Spot3_euklid;Spot3_euklid;Spot3_euklid;Spot3_euklid;Spot3_euklid;Spot3_euklid;Spot3_euklid;Spot3_euklid
distance;2352852.808784673;2830221.724115797;4976066.892094008;3068666.5351200914;2819336.717826687;3771073.1073959135;1825919.7378016307;1941381.609827785;1725787.2499338044;1917286.6448709464;4482791.038104732
mean_distance;160.60428728905617;193.18919618537862;169.83743104181056;209.46529249966494;192.44619234311855;128.7099596367082;124.63615957690313;132.51751602920035;117.80117746988425;130.87280852361408;153.00150305828635
zero-overhead-counter;588;591;1203;197;569;1175;786;618;1479;129;1481
ref before query (rbq);4099;3275;21349;4882;4227;7864;10914;6676;7566;6213;21704
query berfore ref (qbr);14379;16662;16352;15442;14412;30193;7224;12304;8188;10792;15935
max rbq;122;101;1406;779;540;307;454;475;252;244;5579
max qbr;-3246;-4859;-1963;-2791;-2613;-7094;-662;-912;-398;-603;-1313
max distance;513.5535034157117;440.8199822747853;499.95015521060645;464.98317683409766;548.8502915399783;504.43761462493205;561.7911743299505;544.7027544781092;498.0625421410474;471.64004703401406;651.964170281888
min distane;0.6305583231168705;0.1409930600462785;0.6163938858488388;0.36257469889480526;0.2847642520733688;0.2283444486741309;0.5172465791454617;0.5455276836052767;1.4531161516100393;1.1837412409768409;0.8408076705139923
Alias_Distance;Spot3_winkel;Spot3_winkel;Spot3_winkel;Spot3_winkel;Spot3_winkel;Spot3_winkel;Spot3_winkel;Spot3_winkel;Spot3_winkel;Spot3_winkel;Spot3_winkel
distance;787311.1319019569;960529.9943827735;1172740.3277700348;742931.880301625;596542.1195970876;1090986.737893191;706475.3701243404;615960.329040919;630314.1325810234;842322.3148364107;1347201.4988286304
mean_distance;53.74137419125985;65.56518732988215;40.02663325608501;50.71207374072526;40.719598607309734;37.236313112843135;48.2235747525147;42.04507365467023;43.02485546628146;57.496403743099705;45.98114266113623
zero-overhead-counter;599;623;1214;613;609;1310;612;628;922;117;1717
ref before query (rbq);9838;15601;27718;11271;13472;13596;2207;9292;5112;1771;18893
query berfore ref (qbr);8541;3958;10758;6995;6075;25546;16758;10030;12396;17612;17586
max rbq;1023;3942;1916;949;1240;582;84;965;241;28;2370
max qbr;-760;-573;-1912;-1098;-828;-4066;-2532;-614;-729;-2846;-1945
max distance;179.7913017345447;179.97211264572212;179.40885899259337;178.52353308084815;174.44197537138436;179.8883874796944;178.45126358952407;179.97131277708297;179.3858881478223;179.8242433300919;179.70355096719823
min distane;0.00014468377804778988;0.009213886039892467;9.458024146630262e-05;0.002357980459689928;0.0013568123402349596;0.0007413346609302683;0.0007150098150722014;7.418993323992518e-05;0.00029826775093186325;0.0022685850245006936;0.001616156754170413
Alias_Distance;Spot3_winkellog;Spot3_winkellog;Spot3_winkellog;Spot3_winkellog;Spot3_winkellog;Spot3_winkellog;Spot3_winkellog;Spot3_winkellog;Spot3_winkellog;Spot3_winkellog;Spot3_winkellog
distance;739624.7327690092;861579.2863190848;1098322.0581977267;630069.894371892;606051.812914288;737828.9005473027;669308.3727163807;554659.6726433907;581811.9175625966;674799.6474742655;1021556.7779256325
mean_distance;50.48632988184363;58.81087278628565;37.48667388640318;43.008183916170104;41.36872443100942;25.182733217765204;45.68657834241507;37.86072850808128;39.71412406570625;46.06140938390891;34.86660902848673
zero-overhead-counter;603;452;1211;609;609;1181;604;624;487;117;548
ref before query (rbq);8390;17691;20902;13144;17661;20967;14942;8811;10629;5212;29926
query berfore ref (qbr);9129;3346;19729;6010;2227;20302;5247;11031;8307;15236;11371
max rbq;252;3940;3836;939;1802;3834;2860;965;1653;201;5756
max qbr;-760;-494;-3197;-1096;-373;-4066;-478;-914;-723;-4220;-888
max distance;179.79113634445395;179.97211264572195;179.87248990718123;179.19684946278156;179.4042992623729;179.8883874796944;177.92185630740616;179.95337047098946;179.38588814698383;179.01929304366902;179.6748486702918
min distane;6.582430396434582e-07;0.0002340697356343551;2.255607813699005e-06;2.519598126463534e-05;4.495990670064446e-05;9.689644905687419e-07;4.937404916711121e-06;9.708080698781487e-07;6.431775770497038e-05;5.115655939040459e-06;8.74656352629581e-06
Alias_Distance;Spot4_euklid;Spot4_euklid;Spot4_euklid;Spot4_euklid;Spot4_euklid;Spot4_euklid;Spot4_euklid;Spot4_euklid;Spot4_euklid;Spot4_euklid;Spot4_euklid
distance;2683353.2556067104;2473246.982065622;7030521.202197797;2049168.9311481132;2635099.213261649;3571152.8514487194;2080995.8940377627;1744638.8640423545;2159682.2472691075;2048216.882343322;3309456.326746747
mean_distance;194.685718320156;179.44184735294365;255.04321273299706;148.67365095756463;191.18473578042872;129.54918564349995;150.89521383784808;126.57903678751755;156.69173962628656;148.51837302177668;120.02090109330337
zero-overhead-counter;375;110;240;150;388;1841;674;274;271;192;1110
ref before query (rbq);6917;15230;27944;5331;6652;15527;16760;12424;16784;2182;26378
query berfore ref (qbr);13343;4990;13128;11466;11961;18734;1267;3936;3544;15916;8182
max rbq;1255;4244;8220;201;2046;761;3408;514;4328;170;2058
max qbr;-4586;-764;-2786;-842;-1914;-879;-100;-386;-300;-2284;-1575
max distance;538.7379554644419;530.574210958199;576.5385914332011;445.73652526757525;514.3070968479983;741.9218848128105;478.10866319457523;476.4292013898931;758.5279402501659;549.8671786094986;465.57270505477817
min distane;0.41355314972283863;0.32450482617418447;0.09109525005219128;0.6592881735698909;0.18983526227306644;0.20503284609536623;0.8117991478263382;0.3966890143911253;0.4346164176959688;1.066661064704445;0.33694023385758815
