path_ref,path_query,ref_x,ref_y,query_x,query_y
0,0,936.3021638173003,562.5342077060476,965.7,523.9
1,1,936.3021638173003,562.5342077060476,965.7,523.9
2,2,936.3021638173003,562.5342077060476,965.7,523.9
3,3,936.3021638173003,562.5342077060476,965.7,523.9
4,4,936.3021638173003,562.5342077060476,965.7,523.9
5,5,936.3021638173003,562.5342077060476,965.7,523.9
6,6,936.3021638173003,562.5342077060476,965.7,523.9
7,7,936.3021638173003,562.5342077060476,965.7,523.9
8,8,936.3021638173003,562.5342077060476,965.7,523.9
9,9,936.3021638173003,562.5342077060476,965.7,523.9
10,10,936.3021638173003,562.5342077060476,965.7,523.9
11,11,936.3021638173003,562.5342077060476,965.7,523.9
12,12,936.3021638173003,562.5342077060476,965.7,523.9
13,13,936.3021638173003,562.5342077060476,965.7,523.9
14,14,936.3021638173003,562.5342077060476,965.7,523.9
15,15,936.3021638173003,562.5342077060476,965.7,523.9
16,16,936.3021638173003,562.5342077060476,965.7,523.9
17,17,936.3021638173003,562.5342077060476,965.7,523.9
18,18,936.3021638173003,562.5342077060476,965.7,523.9
19,19,936.3021638173003,562.5342077060476,965.7,523.9
20,20,936.3021638173003,562.5342077060476,965.7,523.9
21,21,936.3021638173003,562.5342077060476,965.7,523.9
22,22,936.3021638173003,562.5342077060476,965.7,523.9
23,23,936.3021638173003,562.5342077060476,965.7,523.9
24,24,936.3021638173003,562.5342077060476,965.7,523.9
25,25,936.3021638173003,562.5342077060476,965.7,523.9
26,26,936.3021638173003,562.5342077060476,965.7,523.9
27,27,936.3021638173003,562.5342077060476,965.7,523.9
28,28,936.3021638173003,562.5342077060476,965.7,523.9
29,29,936.3021638173003,562.5342077060476,965.7,523.9
30,30,936.3021638173003,562.5342077060476,965.7,523.9
31,31,936.3021638173003,562.5342077060476,965.7,523.9
32,32,936.3021638173003,562.5342077060476,965.7,523.9
33,33,936.3021638173003,562.5342077060476,965.7,523.9
34,34,936.3021638173003,562.5342077060476,965.7,523.9
35,35,936.3021638173003,562.5342077060476,965.7,523.9
36,36,936.3021638173003,562.5342077060476,965.7,523.9
37,37,936.3021638173003,562.5342077060476,965.7,523.9
38,38,936.3021638173003,562.5342077060476,965.7,523.9
39,39,936.3021638173003,562.5342077060476,965.7,523.9
40,40,936.3021638173003,562.5342077060476,965.7,523.9
41,41,936.3021638173003,562.5342077060476,965.7,523.9
42,42,936.3021638173003,562.5342077060476,965.7,523.9
43,43,936.3021638173003,562.5342077060476,965.7,523.9
44,44,936.3021638173003,562.5342077060476,965.7,523.9
45,45,936.3021638173003,562.5342077060476,965.7,523.9
46,46,936.3021638173003,562.5342077060476,965.7,523.9
47,47,936.3021638173003,562.5342077060476,965.7,523.9
48,48,936.3021638173003,562.5342077060476,965.7,523.9
49,49,936.3021638173003,562.5342077060476,965.7,523.9
50,50,936.3021638173003,562.5342077060476,965.7,523.9
51,51,936.3021638173003,562.5342077060476,965.7,523.9
52,52,936.3021638173003,562.5342077060476,965.7,523.9
53,53,936.3021638173003,562.5342077060476,965.7,523.9
54,54,936.3021638173003,562.5342077060476,965.7,523.9
55,55,936.3021638173003,562.5342077060476,965.7,523.9
56,56,936.3021638173003,562.5342077060476,965.7,523.9
57,57,936.3021638173003,562.5342077060476,965.7,523.9
58,58,936.3021638173003,562.5342077060476,965.7,523.9
59,59,936.3021638173003,562.5342077060476,965.7,523.9
60,60,936.3021638173003,562.5342077060476,965.7,523.9
61,61,936.3021638173003,562.5342077060476,965.7,523.9
62,62,936.3021638173003,562.5342077060476,965.7,523.9
63,63,936.3021638173003,562.5342077060476,965.7,523.9
64,64,936.3021638173003,562.5342077060476,965.7,523.9
65,65,936.3021638173003,562.5342077060476,965.7,523.9
66,66,936.3021638173003,562.5342077060476,965.7,523.9
67,67,936.3021638173003,562.5342077060476,965.7,523.9
68,68,936.3021638173003,562.5342077060476,965.7,523.9
69,69,936.3021638173003,562.5342077060476,965.7,523.9
70,70,936.3021638173003,562.5342077060476,965.7,523.9
71,71,936.3021638173003,562.5342077060476,965.7,523.9
72,72,936.3021638173003,562.5342077060476,965.7,523.9
73,73,936.3021638173003,562.5342077060476,965.7,523.9
74,74,936.3021638173003,562.5342077060476,965.7,523.9
75,75,936.3021638173003,562.5342077060476,965.7,523.9
76,76,936.3021638173003,562.5342077060476,965.7,523.9
77,77,936.3021638173003,562.5342077060476,965.7,523.9
78,78,936.3021638173003,562.5342077060476,965.7,523.9
79,79,936.3021638173003,562.5342077060476,965.7,523.9
80,80,936.3021638173003,562.5342077060476,965.7,523.9
81,81,936.3021638173003,562.5342077060476,965.7,523.9
82,82,936.3021638173003,562.5342077060476,965.7,523.9
83,83,936.3021638173003,562.5342077060476,965.7,523.9
84,84,936.3021638173003,562.5342077060476,965.7,523.9
85,85,936.3021638173003,562.5342077060476,965.7,523.9
86,86,936.3021638173003,562.5342077060476,965.7,523.9
87,87,936.3021638173003,562.5342077060476,965.7,523.9
88,88,936.3021638173003,562.5342077060476,965.7,523.9
89,89,936.3021638173003,562.5342077060476,965.7,523.9
90,90,936.3021638173003,562.5342077060476,965.7,523.9
91,91,936.3021638173003,562.5342077060476,965.7,523.9
92,92,936.3021638173003,562.5342077060476,965.7,523.9
93,93,936.3021638173003,562.5342077060476,965.7,523.9
94,94,936.3021638173003,562.5342077060476,965.7,523.9
95,95,936.3021638173003,562.5342077060476,965.7,523.9
96,96,936.3021638173003,562.5342077060476,965.7,523.9
97,97,936.3021638173003,562.5342077060476,965.7,523.9
98,98,936.3021638173003,562.5342077060476,965.7,523.9
99,99,936.3021638173003,562.5342077060476,965.7,523.9
100,100,943.3021638173003,558.5342077060476,965.7,523.9
101,101,943.3021638173003,558.5342077060476,965.7,523.9
102,102,943.3021638173003,558.5342077060476,965.7,523.9
103,103,943.3021638173003,558.5342077060476,965.7,523.9
104,104,943.3021638173003,558.5342077060476,965.7,523.9
105,105,943.3021638173003,558.5342077060476,965.7,523.9
106,106,943.3021638173003,558.5342077060476,965.7,523.9
107,107,943.3021638173003,558.5342077060476,965.7,523.9
108,108,943.3021638173003,558.5342077060476,965.7,523.9
109,109,943.3021638173003,558.5342077060476,965.7,523.9
110,110,943.3021638173003,558.5342077060476,965.7,523.9
111,111,943.3021638173003,558.5342077060476,965.7,523.9
112,112,943.3021638173003,558.5342077060476,965.7,523.9
113,113,943.3021638173003,558.5342077060476,965.7,523.9
114,114,943.3021638173003,558.5342077060476,965.7,523.9
115,115,943.3021638173003,558.5342077060476,965.7,523.9
116,116,943.3021638173003,558.5342077060476,965.7,523.9
117,117,943.3021638173003,558.5342077060476,965.7,523.9
118,118,943.3021638173003,558.5342077060476,965.7,523.9
119,119,943.3021638173003,558.5342077060476,965.7,523.9
120,120,943.3021638173003,558.5342077060476,965.7,523.9
121,121,943.3021638173003,558.5342077060476,965.7,523.9
